id,name,address,cuisine,description,openingHours,imageUrl,websiteUrl,lat,lon
11,"Ramen-san","Calle Pedro Antonio de Alarcón, 54, 18002 Granada","Japanese","El mejor ramen de la ciudad. Caldos cocinados durante 12 horas y fideos artesanales. Una experiencia reconfortante.","13:30-16:00 / 20:00-23:00","https://picsum.photos/seed/ramensan/400/300","https://www.ramensan-granada.com",37.1685,-3.6045
12,"El Sabor de la Abuela","Plaza de Zocodover, 7, 45001 Toledo","Traditional Spanish","Recetas de toda la vida con el toque casero que nos caracteriza. Migas, carcamusas y cochinillo asado como lo hacía la abuela.","13:00-16:00 / 20:00-22:30","https://picsum.photos/seed/saborabuela/400/300","https://www.elsabordelaabuela.es",39.8596,-4.0205
13,"Gastro-Nomía Molecular","Fermin Calbeton Kalea, 20, 20003 Donostia-San Sebastián","Modern/Fusion","Una experiencia culinaria que desafía los sentidos. Deconstrucciones, espumas y esferificaciones en un menú degustación inolvidable.","Solo con reserva","https://picsum.photos/seed/gastronomia/400/300","https://www.gastronomia-molecular.eus",43.3225,-1.9845
14,"Hummus & Co.","Calle Castaños, 16, 03001 Alicante","Middle Eastern","El paraíso del hummus, falafel y shawarma. Ingredientes frescos y recetas tradicionales de Oriente Medio en un ambiente informal.","12:00-23:00","https://picsum.photos/seed/hummusco/400/300","https://www.hummus-co.es",38.3458,-0.4835
15,"The Burger Joint","Passeig de Mallorca, 10, 07011 Palma","American","Hamburguesas gourmet hechas con carne de primera calidad y pan brioche artesano. Batidos caseros y patatas fritas de verdad.","13:00-16:00 / 19:30-23:00","https://picsum.photos/seed/burgerjoint/400/300","https://www.theburgerjoint-palma.com",39.5745,2.6425
16,"Dulce Capricho","Plaza de las Flores, 5, 30004 Murcia","Desserts/Café","El lugar perfecto para los más golosos. Crepes, gofres, tartas caseras y una gran selección de cafés y tés especiales.","09:00-21:00","https://picsum.photos/seed/dulcecapricho/400/300","https://www.dulcecapricho-murcia.es",37.9855,-1.1305
17,"El Rincón Griego","Calle de la Pasión, 13, 47001 Valladolid","Greek","Saborea la esencia del Mediterráneo. Musaka, souvlaki, ensalada griega y yogur artesano en un ambiente decorado al estilo de las Cícladas.","13:30-16:00 / 20:30-23:00","https://picsum.photos/seed/rincon-griego/400/300","https://www.elrincongriego.es",41.6505,-4.7285
18,"A Tapa do Povo","Rúa de Teófilo Llorente, 22, 36202 Vigo","Portuguese/Tapas","Una fusión de la cocina gallega y portuguesa. Disfruta de nuestras tapas, petiscos y un buen vino de la región.","12:30-16:00 / 20:00-23:30","https://picsum.photos/seed/tapadopovo/400/300","https://www.atapadopovo.com",42.2385,-8.7255
19,"La Cuchara de Oro","Av. Bulevar Príncipe Alfonso de Hohenlohe, 29602 Marbella, Málaga","Fine Dining","Cocina de autor con vistas al mar. Un menú degustación que cambia con la temporada, utilizando solo los mejores productos locales.","20:00-23:00 (Cerrado Lunes y Martes)","https://picsum.photos/seed/cucharadeoro/400/300","https://www.lacucharadeoro.com",36.5095,-4.9535
20,"El Jardín Secreto","Calleja de las Flores, 2, 14003 Córdoba","Café/Brunch","Un oasis de paz en el centro de Córdoba. Desayunos, brunch y meriendas en un patio andaluz lleno de flores y encanto.","09:00-18:00","https://picsum.photos/seed/jardinsecreto/400/300","https://www.jardinsecretocordoba.es",37.8825,-4.7795
